antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'law'}),frozenset({'regulation'}),0.006771841047774967,0.006771841047774967,0.006771841047774967,1.0,147.67032967032966,1.0,0.006725983216598637,inf,1.0,1.0,1.0,1.0,law,regulation
"frozenset({'regulation', 'law'})",frozenset({'and compliance'}),0.006771841047774967,0.006771841047774967,0.006771841047774967,1.0,147.67032967032966,1.0,0.006725983216598637,inf,1.0,1.0,1.0,1.0,"law, regulation",and compliance
"frozenset({'grammar', 'english language'})",frozenset({'vocabulary'}),0.006250930197946123,0.00885548444709034,0.005209108498288436,0.8333333333333334,94.10364145658264,1.0,0.005153753483140677,5.946867093317459,0.9955968249213718,0.5263157894736842,0.8318442325499913,0.7107843137254902,"english language, grammar",vocabulary
frozenset({'vocabulary'}),"frozenset({'grammar', 'english language'})",0.00885548444709034,0.006250930197946123,0.005209108498288436,0.5882352941176471,94.10364145658264,1.0,0.005153753483140677,2.4133905980907024,0.9982130790599897,0.5263157894736842,0.5856451911302187,0.7107843137254902,vocabulary,"english language, grammar"
frozenset({'physiology'}),frozenset({'anatomy'}),0.00885548444709034,0.007069504390534305,0.005209108498288436,0.5882352941176471,83.20743034055728,1.0,0.005146504612109423,2.4114026321944166,0.9968090697499813,0.4861111111111112,0.5853035960693204,0.6625386996904026,physiology,anatomy
frozenset({'anatomy'}),frozenset({'physiology'}),0.007069504390534305,0.00885548444709034,0.005209108498288436,0.736842105263158,83.20743034055728,1.0,0.005146504612109423,3.7663491591010576,0.9950161133178446,0.4861111111111112,0.7344908934999862,0.6625386996904026,anatomy,physiology
frozenset({'deep learning'}),"frozenset({'difficulty:hard', 'artificial neural networks'})",0.010343801160887036,0.007962494418812324,0.006771841047774967,0.6546762589928058,82.21999596584415,1.0,0.006689478588762099,2.872775276578856,0.9981623008918293,0.5870967741935486,0.6519045509223107,0.7525717743562159,deep learning,"artificial neural networks, difficulty:hard"
"frozenset({'difficulty:hard', 'artificial neural networks'})",frozenset({'deep learning'}),0.007962494418812324,0.010343801160887036,0.006771841047774967,0.8504672897196262,82.21999596584415,1.0,0.006689478588762099,6.618325829736567,0.9957662920681449,0.5870967741935486,0.8489043867397802,0.7525717743562159,"artificial neural networks, difficulty:hard",deep learning
"frozenset({'vocabulary', 'grammar'})",frozenset({'english language'}),0.006920672719154636,0.009376395296919185,0.005209108498288436,0.7526881720430109,80.27479091995222,1.0,0.005144217535153038,4.005565010321154,0.9944248782315473,0.4697986577181208,0.7503473299214228,0.6541218637992832,"grammar, vocabulary",english language
frozenset({'english language'}),"frozenset({'vocabulary', 'grammar'})",0.009376395296919185,0.006920672719154636,0.005209108498288436,0.5555555555555556,80.27479091995221,1.0,0.005144217535153038,2.234428486381902,0.9968900240384615,0.4697986577181208,0.552458265684193,0.6541218637992832,english language,"grammar, vocabulary"
frozenset({'deep learning'}),frozenset({'artificial neural networks'}),0.010343801160887036,0.008185741925881828,0.006771841047774967,0.6546762589928058,79.97763243950295,1.0,0.006687169360939309,2.8721287890063008,0.9978177323090474,0.5759493670886076,0.6518261981051414,0.7409744931327665,deep learning,artificial neural networks
frozenset({'artificial neural networks'}),frozenset({'deep learning'}),0.008185741925881828,0.010343801160887036,0.006771841047774967,0.8272727272727273,79.97763243950295,1.0,0.006687169360939309,5.729588519594865,0.9956466102924686,0.5759493670886076,0.8254673967283938,0.7409744931327665,artificial neural networks,deep learning
frozenset({'artificial neural networks'}),"frozenset({'difficulty:hard', 'deep learning'})",0.008185741925881828,0.010343801160887036,0.006771841047774967,0.8272727272727273,79.97763243950295,1.0,0.006687169360939309,5.729588519594865,0.9956466102924686,0.5759493670886076,0.8254673967283938,0.7409744931327665,artificial neural networks,"deep learning, difficulty:hard"
"frozenset({'difficulty:hard', 'deep learning'})",frozenset({'artificial neural networks'}),0.010343801160887036,0.008185741925881828,0.006771841047774967,0.6546762589928058,79.97763243950295,1.0,0.006687169360939309,2.8721287890063008,0.9978177323090474,0.5759493670886076,0.6518261981051414,0.7409744931327665,"deep learning, difficulty:hard",artificial neural networks
frozenset({'vocabulary'}),frozenset({'english language'}),0.00885548444709034,0.009376395296919185,0.0061765143622562885,0.6974789915966387,74.38668800853675,1.0,0.00609348183953465,3.27456135999074,0.9953712288903342,0.5123456790123456,0.6946155866192631,0.6781045751633987,vocabulary,english language
frozenset({'english language'}),frozenset({'vocabulary'}),0.009376395296919185,0.00885548444709034,0.0061765143622562885,0.6587301587301587,74.38668800853675,1.0,0.00609348183953465,2.9042839292945724,0.9958946362372566,0.5123456790123456,0.655681047602363,0.6781045751633987,english language,vocabulary
frozenset({'personal development'}),"frozenset({'difficulty:hard', 'self-awareness'})",0.008929900282780175,0.00915314778984968,0.00543235600535794,0.6083333333333333,66.46165311653115,1.0,0.005350619308321033,2.5298217503237876,0.993828519235477,0.4294117647058822,0.6047152334459882,0.6009146341463414,personal development,"difficulty:hard, self-awareness"
"frozenset({'difficulty:hard', 'self-awareness'})",frozenset({'personal development'}),0.00915314778984968,0.008929900282780175,0.00543235600535794,0.5934959349593495,66.46165311653115,1.0,0.005350619308321033,2.4380324453043603,0.9940524385413506,0.4294117647058822,0.5898331862129252,0.6009146341463414,"difficulty:hard, self-awareness",personal development
frozenset({'self-awareness'}),"frozenset({'difficulty:hard', 'personal development'})",0.011460038696234558,0.007664831076052984,0.00543235600535794,0.474025974025974,61.844281931660575,1.0,0.005344516744626272,1.886661926102319,0.9952357971068295,0.3967391304347826,0.46996333250551475,0.5913819190518219,self-awareness,"difficulty:hard, personal development"
"frozenset({'difficulty:hard', 'personal development'})",frozenset({'self-awareness'}),0.007664831076052984,0.011460038696234558,0.00543235600535794,0.7087378640776699,61.844281931660575,1.0,0.005344516744626272,3.3939872004762615,0.991429495970538,0.3967391304347826,0.7053612930951316,0.5913819190518219,"difficulty:hard, personal development",self-awareness
frozenset({'personal development'}),frozenset({'self-awareness'}),0.008929900282780175,0.011460038696234558,0.006250930197946123,0.7000000000000001,61.08181818181819,1.0,0.006148593195151947,3.2951332043458854,0.9924913650698303,0.4421052631578948,0.6965221318879856,0.6227272727272728,personal development,self-awareness
frozenset({'self-awareness'}),frozenset({'personal development'}),0.011460038696234558,0.008929900282780175,0.006250930197946123,0.5454545454545455,61.08181818181819,1.0,0.006148593195151947,2.1803542193778838,0.9950316169828365,0.4421052631578948,0.5413589264017257,0.6227272727272728,self-awareness,personal development
frozenset({'environmental science'}),frozenset({'environment'}),0.011906533710373568,0.007962494418812324,0.0055067718410477745,0.46249999999999997,58.08481308411214,1.0,0.005411966132831524,1.8456511731743024,0.9946263479928188,0.3834196891191709,0.4581858075163154,0.5770443925233644,environmental science,environment
frozenset({'environment'}),frozenset({'environmental science'}),0.007962494418812324,0.011906533710373568,0.0055067718410477745,0.6915887850467288,58.084813084112135,1.0,0.005411966132831524,3.2038182088784843,0.9906720162514927,0.3834196891191709,0.6878724275838185,0.5770443925233644,environment,environmental science
"frozenset({'vocabulary', 'english language'})",frozenset({'grammar'}),0.0061765143622562885,0.01503199880934663,0.005209108498288436,0.8433734939759037,56.10521293093165,1.0,0.0051162631417490875,6.2886418537557125,0.9882804728031235,0.32558139534883723,0.84098315291993,0.5949540737206251,"english language, vocabulary",grammar
frozenset({'grammar'}),"frozenset({'vocabulary', 'english language'})",0.01503199880934663,0.0061765143622562885,0.005209108498288436,0.34653465346534656,56.10521293093165,1.0,0.0051162631417490875,1.5208510916577596,0.9971657384622026,0.32558139534883723,0.34247343116939927,0.5949540737206251,grammar,"english language, vocabulary"
frozenset({'responsible ai'}),"frozenset({'data ethics', 'generative ai'})",0.01771096889418068,0.0061765143622562885,0.005730019348117279,0.3235294117647059,52.3805811481219,1.0,0.005620627294372898,1.4691303700731861,0.9985950413223141,0.3155737704918033,0.31932521417402604,0.6256201275690999,responsible ai,"data ethics, generative ai"
"frozenset({'data ethics', 'generative ai'})",frozenset({'responsible ai'}),0.0061765143622562885,0.01771096889418068,0.005730019348117279,0.9277108433734939,52.38058114812189,1.0,0.005620627294372898,13.588331596963812,0.9870052074469895,0.3155737704918033,0.9264074479737129,0.6256201275690999,"data ethics, generative ai",responsible ai
frozenset({'vocabulary'}),frozenset({'grammar'}),0.00885548444709034,0.01503199880934663,0.006920672719154636,0.7815126050420168,51.98993260670605,1.0,0.006787557087489787,4.508122774680299,0.9895282590074654,0.4078947368421052,0.7781781797034317,0.6209543223229886,vocabulary,grammar
frozenset({'grammar'}),frozenset({'vocabulary'}),0.01503199880934663,0.00885548444709034,0.006920672719154636,0.4603960396039604,51.98993260670605,1.0,0.006787557087489787,1.836799927905392,0.995733369728047,0.4078947368421052,0.455574891523239,0.6209543223229886,grammar,vocabulary
frozenset({'cybersecurity'}),frozenset({'threat detection'}),0.013841345438309272,0.00744158356898348,0.005283524333978271,0.3817204301075269,51.295591397849456,1.0,0.005180522805191924,1.6053553517927746,0.9942671422437432,0.3302325581395349,0.3770849557493587,0.5458602150537635,cybersecurity,threat detection
frozenset({'threat detection'}),frozenset({'cybersecurity'}),0.00744158356898348,0.013841345438309272,0.005283524333978271,0.71,51.295591397849456,1.0,0.005180522805191924,3.400547084695485,0.9878563629490242,0.3302325581395349,0.7059296709930576,0.5458602150537635,threat detection,cybersecurity
frozenset({'epidemiology'}),frozenset({'public health'}),0.007813662747432653,0.015404077987795802,0.006102098526566453,0.780952380952381,50.697768576029446,1.0,0.005981736256234666,4.494894426577455,0.987995126707436,0.3565217391304348,0.7775253643139669,0.588543823326432,epidemiology,public health
frozenset({'public health'}),frozenset({'epidemiology'}),0.015404077987795802,0.007813662747432653,0.006102098526566453,0.3961352657004831,50.697768576029446,1.0,0.005981736256234666,1.6430605744902516,0.9956117469873966,0.3565217391304348,0.3913797120290326,0.588543823326432,public health,epidemiology
"frozenset({'public health', 'difficulty:hard'})",frozenset({'health policy'}),0.011087959517785385,0.010939127846405714,0.005878851019496949,0.5302013422818792,48.46833767063873,1.0,0.0057575584127761235,2.1052867135840794,0.9903489228266263,0.3640552995391705,0.5250053146929421,0.5338081541341368,"difficulty:hard, public health",health policy
frozenset({'health policy'}),"frozenset({'public health', 'difficulty:hard'})",0.010939127846405714,0.011087959517785385,0.005878851019496949,0.5374149659863946,48.468337670638725,1.0,0.0057575584127761235,2.1377951463365523,0.9901998973322577,0.3640552995391705,0.5322283326755339,0.5338081541341368,health policy,"difficulty:hard, public health"
frozenset({'prompt engineering'}),frozenset({'llm application'}),0.014287840452448282,0.008408989432951331,0.005804435183807114,0.40624999999999994,48.311393805309734,1.0,0.0056842888844227816,1.6700480177971346,0.9934958594176471,0.3436123348017621,0.4012148217636022,0.5482577433628318,prompt engineering,llm application
frozenset({'llm application'}),frozenset({'prompt engineering'}),0.008408989432951331,0.014287840452448282,0.005804435183807114,0.6902654867256637,48.31139380530973,1.0,0.0056842888844227816,3.1824421151106668,0.9876057151104055,0.3436123348017621,0.6857759029608538,0.5482577433628318,llm application,prompt engineering
"frozenset({'health policy', 'difficulty:hard'})",frozenset({'public health'}),0.008036910254502158,0.015404077987795802,0.005878851019496949,0.7314814814814815,47.486222937913766,1.0,0.005755049827155682,3.66677101990752,0.9868726675339721,0.3347457627118644,0.7272804888631357,0.5565619967793881,"difficulty:hard, health policy",public health
frozenset({'public health'}),"frozenset({'health policy', 'difficulty:hard'})",0.015404077987795802,0.008036910254502158,0.005878851019496949,0.3816425120772947,47.48622293791376,1.0,0.005755049827155682,1.6041903091977974,0.994256870850869,0.3347457627118644,0.37663256393808603,0.5565619967793881,public health,"difficulty:hard, health policy"
"frozenset({'data ethics', 'artificial intelligence'})",frozenset({'responsible ai'}),0.0073671677332936445,0.01771096889418068,0.0061765143622562885,0.8383838383838385,47.33698327815976,1.0,0.006046034683693713,6.07791337996726,0.9861399266757411,0.3267716535433071,0.8354698500153046,0.5935616670910789,"artificial intelligence, data ethics",responsible ai
frozenset({'responsible ai'}),"frozenset({'data ethics', 'artificial intelligence'})",0.01771096889418068,0.0073671677332936445,0.0061765143622562885,0.34873949579831937,47.33698327815976,1.0,0.006046034683693713,1.5241717037385558,0.9965242789339175,0.3267716535433071,0.3439059408154896,0.5935616670910789,responsible ai,"artificial intelligence, data ethics"
frozenset({'health policy'}),frozenset({'public health'}),0.010939127846405714,0.015404077987795802,0.00788807858312249,0.7210884353741498,46.811528476124764,1.0,0.0077195714046579865,3.5301365984340025,0.9894615877107931,0.4274193548387098,0.71672484276002,0.6165828650300701,health policy,public health
frozenset({'public health'}),frozenset({'health policy'}),0.015404077987795802,0.010939127846405714,0.00788807858312249,0.5120772946859904,46.81152847612476,1.0,0.0077195714046579865,2.0270851538197427,0.9939486026954992,0.4274193548387098,0.5066808130306477,0.6165828650300701,public health,health policy
frozenset({'supervised learning'}),frozenset({'machine learning'}),0.0066974252120851315,0.018231879744009524,0.00543235600535794,0.8111111111111111,44.488616780045355,1.0,0.005310249354296706,5.197595930767008,0.9841133657086794,0.2786259541984733,0.8076033586834769,0.5545351473922903,supervised learning,machine learning
frozenset({'grammar'}),frozenset({'english language'}),0.01503199880934663,0.009376395296919185,0.006250930197946123,0.4158415841584158,44.34983498349835,1.0,0.0061099842350068705,1.6958132894069686,0.9923692958597764,0.3442622950819672,0.4103124404988575,0.5412541254125413,grammar,english language
frozenset({'english language'}),frozenset({'grammar'}),0.009376395296919185,0.01503199880934663,0.006250930197946123,0.6666666666666666,44.34983498349835,1.0,0.0061099842350068705,2.95490400357196,0.9867037259615384,0.3442622950819672,0.6615795305731842,0.5412541254125413,english language,grammar
frozenset({'sustainable development'}),frozenset({'climate change mitigation'}),0.016817978865902663,0.008334573597261497,0.0061765143622562885,0.36725663716814166,44.064238305941856,1.0,0.006036343679641234,1.5672474571120203,0.9940233230834327,0.3254901960784314,0.36193866803733216,0.5541640328697851,sustainable development,climate change mitigation
frozenset({'climate change mitigation'}),frozenset({'sustainable development'}),0.008334573597261497,0.016817978865902663,0.0061765143622562885,0.7410714285714286,44.06423830594185,1.0,0.006036343679641234,3.7971167712765146,0.9855197467040608,0.3254901960784314,0.7366422840707583,0.5541640328697851,climate change mitigation,sustainable development
"frozenset({'machine learning', 'difficulty:hard'})",frozenset({'deep learning'}),0.015106414645036464,0.010343801160887036,0.006771841047774967,0.4482758620689655,43.33763334160258,1.0,0.006615583298432798,1.7937518603958922,0.9919095638022726,0.36254980079681276,0.4425092890053958,0.5514760605308857,"difficulty:hard, machine learning",deep learning
frozenset({'deep learning'}),"frozenset({'machine learning', 'difficulty:hard'})",0.010343801160887036,0.015106414645036464,0.006771841047774967,0.6546762589928058,43.33763334160258,1.0,0.006615583298432798,2.852087674257082,0.987136106242806,0.36254980079681276,0.6493796424892576,0.5514760605308857,deep learning,"difficulty:hard, machine learning"
"frozenset({'machine learning', 'difficulty:hard'})",frozenset({'artificial neural networks'}),0.015106414645036464,0.008185741925881828,0.005209108498288436,0.3448275862068966,42.125391849529784,1.0,0.005085451286578806,1.513821762323654,0.9912353607857953,0.28806584362139914,0.33942025085896427,0.4905956112852665,"difficulty:hard, machine learning",artificial neural networks
frozenset({'artificial neural networks'}),"frozenset({'machine learning', 'difficulty:hard'})",0.008185741925881828,0.015106414645036464,0.005209108498288436,0.6363636363636365,42.125391849529784,1.0,0.005085451286578806,2.7084573597261503,0.9843187274909965,0.28806584362139914,0.6307861386818698,0.4905956112852665,artificial neural networks,"difficulty:hard, machine learning"
frozenset({'world history'}),frozenset({'political sciences'}),0.011906533710373568,0.010492632832266707,0.005209108498288436,0.4375,41.6959219858156,1.0,0.0050841776117604804,1.7591242082981924,0.9877778495040132,0.30303030303030304,0.4315353087162518,0.46697695035460995,world history,political sciences
frozenset({'political sciences'}),frozenset({'world history'}),0.010492632832266707,0.011906533710373568,0.005209108498288436,0.49645390070921985,41.6959219858156,1.0,0.0050841776117604804,1.9622701231948922,0.9863664199228614,0.30303030303030304,0.490386166420432,0.46697695035460995,political sciences,world history
frozenset({'applied mathematics'}),"frozenset({'difficulty:hard', 'mathematical modeling'})",0.011832117874683733,0.014287840452448282,0.006995088554844471,0.5911949685534591,41.377489517819704,1.0,0.006826033142436428,2.4112035902778572,0.987516683677475,0.3657587548638132,0.5852693633867873,0.5403891509433962,applied mathematics,"difficulty:hard, mathematical modeling"
"frozenset({'difficulty:hard', 'mathematical modeling'})",frozenset({'applied mathematics'}),0.014287840452448282,0.011832117874683733,0.006995088554844471,0.4895833333333333,41.377489517819704,1.0,0.006826033142436428,1.9360023813067417,0.9899769018989272,0.3657587548638132,0.48347170971709713,0.5403891509433962,"difficulty:hard, mathematical modeling",applied mathematics
frozenset({'cybersecurity'}),frozenset({'network security'}),0.013841345438309272,0.009897306146748028,0.005655603512427445,0.40860215053763443,41.284178187403995,1.0,0.005518611479141604,1.6741736459700445,0.9894732870510112,0.3127572016460905,0.4026903945076837,0.49001536098310294,cybersecurity,network security
frozenset({'network security'}),frozenset({'cybersecurity'}),0.009897306146748028,0.013841345438309272,0.005655603512427445,0.5714285714285714,41.28417818740399,1.0,0.005518611479141604,2.301036860643945,0.9855317549793311,0.3127572016460905,0.5654133068862921,0.49001536098310294,network security,cybersecurity
frozenset({'applied machine learning'}),"frozenset({'machine learning', 'difficulty:hard'})",0.010269385325197201,0.015106414645036464,0.006325346033635958,0.6159420289855073,40.773541800528314,1.0,0.006170212440763876,2.564439901490283,0.9855957540911101,0.33203125,0.6100513022672647,0.5173306204040837,applied machine learning,"difficulty:hard, machine learning"
"frozenset({'machine learning', 'difficulty:hard'})",frozenset({'applied machine learning'}),0.015106414645036464,0.010269385325197201,0.006325346033635958,0.4187192118226601,40.77354180052831,1.0,0.006170212440763876,1.7026721591439407,0.9904362319162648,0.33203125,0.4126878773287899,0.5173306204040837,"difficulty:hard, machine learning",applied machine learning
frozenset({'regression analysis'}),frozenset({'statistical analysis'}),0.009599642803988688,0.013320434588480428,0.005209108498288436,0.5426356589147288,40.737083712268856,1.0,0.005081237084245128,2.1573163379336617,0.9849070983115615,0.29411764705882354,0.5364611195788616,0.46684855571434763,regression analysis,statistical analysis
frozenset({'statistical analysis'}),frozenset({'regression analysis'}),0.013320434588480428,0.009599642803988688,0.005209108498288436,0.3910614525139665,40.737083712268856,1.0,0.005081237084245128,1.6264372838356516,0.9886212060810446,0.29411764705882354,0.3851592004570353,0.46684855571434763,statistical analysis,regression analysis
frozenset({'applied machine learning'}),frozenset({'machine learning'}),0.010269385325197201,0.018231879744009524,0.007590415240363149,0.7391304347826088,40.54055013309672,1.0,0.007403185042069257,3.763444460981298,0.985453339230429,0.3629893238434164,0.7342859685142649,0.5777284826974268,applied machine learning,machine learning
frozenset({'machine learning'}),frozenset({'applied machine learning'}),0.018231879744009524,0.010269385325197201,0.007590415240363149,0.41632653061224495,40.54055013309672,1.0,0.007403185042069257,1.6956923118554317,0.9934457221075347,0.3629893238434164,0.41027036980205617,0.5777284826974268,machine learning,applied machine learning
frozenset({'mathematical modeling'}),"frozenset({'applied mathematics', 'difficulty:hard'})",0.017562137222801012,0.010046137818127698,0.006995088554844471,0.3983050847457627,39.647583176396736,1.0,0.006818656903923342,1.6452754329219852,0.9922029866525703,0.3393501805054151,0.39219903245986315,0.5473006905210295,mathematical modeling,"applied mathematics, difficulty:hard"
"frozenset({'applied mathematics', 'difficulty:hard'})",frozenset({'mathematical modeling'}),0.010046137818127698,0.017562137222801012,0.006995088554844471,0.6962962962962963,39.647583176396736,1.0,0.006818656903923342,3.2348563774371186,0.9846699112822096,0.3393501805054151,0.6908672647803082,0.5473006905210295,"applied mathematics, difficulty:hard",mathematical modeling
frozenset({'machine learning'}),"frozenset({'difficulty:hard', 'applied machine learning'})",0.018231879744009524,0.008781068611400506,0.006325346033635958,0.34693877551020413,39.509858180560364,1.0,0.006165250646689007,1.517803988688793,0.9927902943182881,0.3057553956834533,0.3411533982962555,0.5336388792805258,machine learning,"applied machine learning, difficulty:hard"
"frozenset({'difficulty:hard', 'applied machine learning'})",frozenset({'machine learning'}),0.008781068611400506,0.018231879744009524,0.006325346033635958,0.7203389830508474,39.509858180560364,1.0,0.006165250646689007,3.510564793642632,0.9833245009715598,0.3057553956834533,0.7151455509919873,0.5336388792805258,"applied machine learning, difficulty:hard",machine learning
frozenset({'mathematical modeling'}),frozenset({'applied mathematics'}),0.017562137222801012,0.011832117874683733,0.008036910254502158,0.4576271186440678,38.67668692037096,1.0,0.007829112976750607,1.8219345326685519,0.9915585180696528,0.37630662020905925,0.45113285792145363,0.5684362008314678,mathematical modeling,applied mathematics
frozenset({'applied mathematics'}),frozenset({'mathematical modeling'}),0.011832117874683733,0.017562137222801012,0.008036910254502158,0.6792452830188679,38.67668692037096,1.0,0.007829112976750607,3.0628945133642085,0.9858088376802138,0.37630662020905925,0.6735114462359905,0.5684362008314678,applied mathematics,mathematical modeling
"frozenset({'prompt engineering', 'artificial intelligence'})",frozenset({'generative ai'}),0.006399761869325792,0.023961899092126804,0.005730019348117279,0.8953488372093024,37.36552072800809,1.0,0.0055766688999908534,9.326586297564125,0.9795059643771445,0.2326283987915408,0.8927796336092257,0.5672396359959555,"artificial intelligence, prompt engineering",generative ai
"frozenset({'artificial intelligence', 'responsible ai'})",frozenset({'data ethics'}),0.010790296175026045,0.015478493823485638,0.0061765143622562885,0.5724137931034483,36.981233421750666,1.0,0.006009496829557567,2.3025099741224935,0.9835722941415855,0.3074074074074074,0.5656913493366695,0.48572612732095494,"artificial intelligence, responsible ai",data ethics
frozenset({'data ethics'}),"frozenset({'artificial intelligence', 'responsible ai'})",0.015478493823485638,0.010790296175026045,0.0061765143622562885,0.39903846153846156,36.981233421750666,1.0,0.006009496829557567,1.6460449471647567,0.988255971732736,0.3074074074074074,0.39248317506611347,0.48572612732095494,data ethics,"artificial intelligence, responsible ai"
frozenset({'verbal communication skills'}),frozenset({'communication'}),0.008185741925881828,0.018529543086768865,0.00558118767673761,0.6818181818181819,36.79627601314348,1.0,0.005429509619024812,3.0846214360130126,0.9808523409363745,0.26408450704225356,0.6758111098091385,0.49151150054764514,verbal communication skills,communication
frozenset({'communication'}),frozenset({'verbal communication skills'}),0.018529543086768865,0.008185741925881828,0.00558118767673761,0.3012048192771084,36.796276013143476,1.0,0.005429509619024812,1.4193204037957208,0.9911896277200698,0.26408450704225356,0.2954374520892694,0.49151150054764514,communication,verbal communication skills
"frozenset({'prompt engineering', 'responsible ai'})",frozenset({'generative ai'}),0.006102098526566453,0.023961899092126804,0.005283524333978271,0.8658536585365855,36.134600818057876,1.0,0.00513730646483447,7.27592038858597,0.9782953486115856,0.2132132132132132,0.8625603433527474,0.5431752764732617,"prompt engineering, responsible ai",generative ai
"frozenset({'artificial intelligence', 'generative ai'})",frozenset({'prompt engineering'}),0.01116237535347522,0.014287840452448282,0.005730019348117279,0.5133333333333333,35.92798611111111,1.0,0.005570533109996484,2.025435944275791,0.9831407304315191,0.2905660377358491,0.5062791282903014,0.45718749999999997,"artificial intelligence, generative ai",prompt engineering
frozenset({'prompt engineering'}),"frozenset({'artificial intelligence', 'generative ai'})",0.014287840452448282,0.01116237535347522,0.005730019348117279,0.40104166666666663,35.9279861111111,1.0,0.005570533109996484,1.6509289037576762,0.9862580421239638,0.2905660377358491,0.39428039710014046,0.45718749999999997,prompt engineering,"artificial intelligence, generative ai"
"frozenset({'difficulty:hard', 'deep learning'})",frozenset({'machine learning'}),0.010343801160887036,0.018231879744009524,0.006771841047774967,0.6546762589928058,35.90832476875643,1.0,0.006583254108913728,2.843036848241306,0.9823121460838582,0.310580204778157,0.6482634403354297,0.5130524152106887,"deep learning, difficulty:hard",machine learning
frozenset({'machine learning'}),"frozenset({'difficulty:hard', 'deep learning'})",0.018231879744009524,0.010343801160887036,0.006771841047774967,0.3714285714285715,35.90832476875643,1.0,0.006583254108913728,1.5744530436076798,0.9902045956771948,0.310580204778157,0.36485879711686175,0.5130524152106887,machine learning,"deep learning, difficulty:hard"
frozenset({'machine learning'}),frozenset({'deep learning'}),0.018231879744009524,0.010343801160887036,0.006771841047774967,0.3714285714285715,35.90832476875643,1.0,0.006583254108913728,1.5744530436076798,0.9902045956771948,0.310580204778157,0.36485879711686175,0.5130524152106887,machine learning,deep learning
frozenset({'deep learning'}),frozenset({'machine learning'}),0.010343801160887036,0.018231879744009524,0.006771841047774967,0.6546762589928058,35.90832476875643,1.0,0.006583254108913728,2.843036848241306,0.9823121460838582,0.310580204778157,0.6482634403354297,0.5130524152106887,deep learning,machine learning
frozenset({'artificial neural networks'}),frozenset({'machine learning'}),0.008185741925881828,0.018231879744009524,0.005357940169668105,0.6545454545454545,35.90115027829314,1.0,0.005208698707259931,2.841960348109446,0.9801691509937308,0.254416961130742,0.6481302067901021,0.47421150278293134,artificial neural networks,machine learning
"frozenset({'difficulty:hard', 'artificial neural networks'})",frozenset({'machine learning'}),0.007962494418812324,0.018231879744009524,0.005209108498288436,0.6542056074766355,35.88251001335114,1.0,0.005063937257582303,2.839167266686242,0.9799339884479784,0.24822695035460998,0.6477840486069149,0.4699599465954606,"artificial neural networks, difficulty:hard",machine learning
"frozenset({'artificial intelligence', 'generative ai'})",frozenset({'responsible ai'}),0.01116237535347522,0.01771096889418068,0.006995088554844471,0.6266666666666666,35.382969187675066,1.0,0.006797392072173902,2.6311313333191584,0.982707161796918,0.31972789115646255,0.6199353535353535,0.510812324929972,"artificial intelligence, generative ai",responsible ai
